latitude,longitude,waterfallok,ad_attempts,ad_opportunities,impressions,start,complete
28.09,-82.58,50,787,78,67,67,66
40.09,-75.05,84,1211,80,67,66,59
41.91,-71.13,82,1214,77,57,57,51
39.56,-76.12,51,758,43,35,35,33
42.99,-78.73,126,1754,64,46,42,41
41.06,-80.33,13,187,21,19,19,18
39.15,-94.69,27,413,44,19,19,17
39.73,-75.14,9,120,4,3,3,3
43.96,-69.97,18,295,13,12,12,12
39.79,-84.16,76,1369,167,150,148,146
38.4,-85.77,26,535,61,43,43,43
38.95,-90.13,41,670,79,66,66,62
37.14,-76.35,19,387,70,67,67,66
39.73,-86,17,244,7,6,6,7
46.79,-96.88,27,347,27,23,23,22
35.75,-78.78,40,603,61,51,51,50
40.29,-89.66,3,67,5,5,5,5
36.99,-76.42,23,355,14,11,11,11
44.24,-93.6,7,84,10,7,7,6
41.66,-83.45,70,1243,131,114,114,107
28.03,-82.72,37,566,72,66,66,64
33.23,-97.11,21,353,23,15,15,15
42.07,-70.81,19,307,29,23,23,23
40.4,-80.02,55,858,57,54,54,51
29.55,-90.59,12,207,10,7,7,7
38.53,-90.05,7,103,14,14,14,13
34.19,-80.82,28,426,55,42,42,38
39.28,-83.97,15,269,37,35,35,34
39.6,-74.37,20,669,145,143,143,142
36.77,-83.35,12,191,8,8,8,8
44.9,-93.29,20,325,23,17,17,15
34.74,-92.32,39,584,77,66,66,61
34.22,-88.77,45,615,42,31,31,26
33.29,-84.27,80,1231,64,43,43,43
30.76,-88.27,36,873,200,193,193,187
42.17,-87.96,48,695,69,45,45,38
38.34,-82.99,21,291,14,10,10,9
26.62,-80.09,117,1761,115,101,101,99
43.75,-90.8,1,33,3,3,3,3
42.05,-71.75,15,230,29,27,27,27
41.73,-72.74,6,92,7,7,7,7
43.76,-71,2,28,,,,
48.2,-96.74,2,28,,,,
41.8,-88.96,2,33,5,4,4,4
43.63,-88.76,4,68,11,11,11,9
32.77,-91.26,5,77,1,1,1,1
40.91,-73.04,36,587,70,60,60,57
44.28,-88.37,29,453,47,32,32,29
-33.79,151.08,167,2027,181,176,175,171
38.66,-85.19,14,197,7,6,6,6
-37.82,145.13,210,2356,156,145,144,141
-27.79,152.88,6,110,20,20,20,19
40.86,-74.23,6,93,4,4,4,4
-33.76,150.99,274,2994,177,169,165,159
-37.87,144.67,65,690,34,31,30,30
44.17,-77.4,31,287,8,8,8,7
0.38,-0.77,265,3779,61,60,60,55
49.23,-122.93,97,972,19,19,19,17
34.62,-98.65,9,145,13,12,12,11
37.85,-103.58,25,360,34,30,30,29
-33.88,151.22,2,19,,,,
49.19,-122.94,163,1821,78,77,77,76
40.71,-74,29,575,58,54,54,53
-38.22,145.04,11,160,21,21,20,20
-37.8,145,60,750,71,70,70,69
-34.88,138.55,104,1191,83,76,72,70
-33.94,151.13,31,382,35,35,35,35
35.29,-106.45,16,266,15,12,12,12
39.35,-120.88,22,315,20,18,18,15
45.45,-75.6,43,536,57,57,57,57
37.28,-121.96,79,1239,84,69,69,67
-32.06,115.85,29,326,24,13,15,12
42.56,-122.92,31,436,22,14,14,12
-34.91,138.62,50,490,1,1,1,1
32.47,-100.43,14,211,17,13,13,13
53.57,-113.51,15,146,1,,,
41.59,-73.88,40,685,53,40,40,40
40.99,-82.69,8,166,33,30,30,29
49.93,-97.17,31,302,5,5,5,5
51.65,-121.29,4,92,15,14,14,14
48.48,-123.53,83,808,24,24,24,22
-38.12,145.15,11,107,,,,
46.02,-73.14,21,204,6,5,5,5
44.3,-79.65,19,205,6,6,6,6
45.02,-95.22,1,16,1,1,1,1
35.17,-94.67,2,74,14,14,14,13
45.08,-64.5,21,215,10,10,10,9
41.64,-70.93,3,49,2,2,2,2
40.94,-74.42,10,126,4,3,3,2
39.94,-82.89,49,833,63,61,61,60
41.03,-84.05,17,265,24,23,23,23
41.36,-86.52,2,29,2,2,2,2
40.8,-81.58,9,231,47,33,33,32
41.78,-72.75,32,453,32,17,16,15
37.5,-77.26,19,319,41,33,33,33
28.39,-81.45,40,634,41,36,36,36
39.75,-75.82,2,28,,,,
40.08,-77.03,9,134,6,5,5,5
37.83,-86.09,19,288,28,23,23,23
43.46,-85.93,7,99,2,1,1,1
39.76,-75.5,13,210,29,25,25,23
34.15,-77.86,40,585,39,37,37,36
40.91,-84.45,4,84,12,12,12,12
41.38,-81.92,22,342,67,58,58,55
42.55,-83.21,4,61,1,1,1,1
39.61,-105.06,10,200,17,17,17,17
40.51,-74.24,33,491,32,29,26,26
34.78,-83.09,20,332,45,42,42,40
34.91,-78.99,8,112,,,,
39.46,-82.25,19,300,38,36,36,34
42.87,-71.39,25,452,59,55,55,53
42.48,-83.17,42,668,51,44,44,42
41.87,-85.17,3,42,,,,
39.8,-75.46,20,307,48,48,48,43
39.15,-84.49,13,208,23,21,20,19
33.23,-84.84,8,155,21,14,14,14
35.02,-81.41,3,42,,,,
28.25,-80.66,14,216,20,19,19,19
40.6,-80.21,13,207,32,31,31,30
35.4,-85.11,5,103,9,7,7,7
40.33,-74.06,4,64,16,16,16,15
38.7,-93.24,23,416,46,32,32,32
40.18,-101.54,5,87,18,18,18,17
37.59,-76.46,12,180,21,17,17,16
39.29,-76.59,23,336,38,33,33,30
29.43,-81.56,1,14,,,,
44.16,-71.76,1,23,20,20,20,20
-37.82,144.98,9,77,,,,
40.32,-74.26,19,302,15,14,14,14
35.03,-93.24,1,14,,,,
-32.04,115.87,10,124,48,49,48,47
50.45,-119.18,27,342,29,29,29,27
47.04,-65.18,18,251,27,27,27,27
40.8,-81.35,3,51,7,7,7,7
46.6,-63.96,43,404,3,3,3,1
19.73,-155.09,2,58,13,13,13,13
31.54,-97.19,50,770,41,24,24,24
-35.04,138.52,23,293,29,27,27,28
35.46,-97.27,18,260,46,39,39,37
25.29,51.53,9,80,1,1,1,1
34.1,-118.45,23,351,25,24,24,23
27.49,-80.89,5,125,18,17,17,17
35.93,-114.97,1,59,8,8,8,8
44.44,-75.2,2,54,12,12,12,12
48.7,-117.29,7,96,1,,,
48.34,-65.6,8,124,12,12,12,12
34.06,-118.38,17,260,8,7,7,7
34.08,-117.26,18,573,97,92,93,91
32.65,-117.15,14,218,11,10,10,9
36.53,-119.88,6,93,2,2,2,2
-34.84,138.53,12,115,1,1,1,1
45.28,-73.28,25,276,36,36,36,36
25.79,-80.13,5,81,2,2,2,2
40.75,-73.06,14,184,3,1,1,1
-35.44,149.11,22,208,,,,
40.48,-88.99,26,314,20,15,15,10
40.66,-82.23,4,44,1,1,1,1
38.88,-94.53,35,525,27,15,15,15
-33.92,151.22,5,52,2,2,2,2
32.57,-96.27,6,96,21,20,20,20
36.45,-88.88,2,30,1,1,1,1
30.18,-97.74,8,130,13,11,11,10
43.58,-91.81,1,24,4,4,4,4
35.78,-86.33,1,51,11,11,11,11
33.31,-87.59,2,28,,,,
31.94,-89.82,6,75,8,5,5,2
-33.81,151.22,9,89,,,,
40.83,-74.13,3,53,2,2,2,2
44.9,-93.23,22,323,23,13,13,11
42.37,-73.26,3,74,19,15,15,15
38.05,-87.25,10,125,11,8,8,6
44.64,-88.74,8,113,18,17,18,15
48.83,-108,1,19,4,4,4,4
43.31,-79.85,8,72,11,10,10,8
34.93,-86.96,6,179,24,21,21,20
48.88,-72.45,6,59,,,,
-41.28,174.78,2,20,,,,
33.9,-87.17,41,553,30,16,16,14
34,-95.09,5,51,3,2,2,1
44.33,-93.28,24,359,26,18,18,16
52.29,-81.64,1,19,9,9,9,9
-34.88,138.62,8,80,,,,
41.1,-87.41,7,170,33,27,27,27
40.66,-74.97,2,26,10,10,10,9
39.8,-75.22,2,39,1,1,1,1
43.93,-70.45,7,87,2,1,1,1
48.52,-72.23,20,227,20,20,20,20
43.13,-79.23,10,103,1,1,1,1
42.19,-93.63,2,28,,,,
46.15,-92.42,3,68,20,20,20,20
-37.87,145.03,24,242,1,1,1,1
35.87,-85.13,16,214,3,2,2,1
43.06,-71.41,6,100,9,5,5,4
38.61,-90.17,2,28,1,,,
40.05,-87.64,8,134,10,5,5,5
44.58,-93.77,7,129,7,6,6,6
44.94,-90.8,6,84,1,1,1,1
-37.75,145.12,11,246,51,51,51,51
40.64,-74.88,5,88,3,3,3,3
25.9,-80.15,19,276,13,9,9,8
27.78,-82.68,2,33,1,1,1,1
43.09,-91.55,1,11,1,1,1,1
41.97,-74.13,1,20,2,2,2,2
54.15,-113.87,14,138,,,,
39.48,-80.31,1,18,1,1,1,1
39.23,-99.34,4,79,12,6,6,6
35.6,-92.57,6,45,5,4,4,1
46.55,-84.15,1,10,,,,
50.23,-121.57,14,140,1,1,1,1
31.52,-95.43,2,27,1,,,
33.54,-86.67,23,410,24,21,21,21
26.89,-82.21,7,111,7,6,6,5
46.74,-92.57,18,263,16,8,8,8
45.89,-77.28,46,375,,,,
38.99,-88.44,1,14,1,,,
37.18,-79.8,2,41,5,4,4,4
51.5,-106.28,1,3,,,,
45.98,-95.52,2,28,1,,,
53.72,-113.22,23,221,3,1,1,1
36.37,-85.91,4,61,4,1,1,1
49.84,-97.22,8,114,19,19,19,19
44.78,-68.74,3,56,3,2,2,2
42.61,-100.72,1,14,1,,,
45.93,-93.35,1,14,,,,
42.36,-71.08,9,120,,,,
53.74,-113.34,13,122,1,1,1,
35.73,-81.78,13,185,11,8,8,7
30.14,-102.39,1,13,,,,
47.91,-122.57,3,44,2,1,1,1
45.98,-60.37,2,21,2,2,2,2
40.54,-79.88,8,118,2,2,2,2
39.16,-75.69,3,76,7,7,7,7
-27.53,152.96,2,20,,,,
-33.75,151.05,6,57,,,,
32.04,-93.67,8,122,11,8,8,7
41.6,-87.89,6,78,4,3,3,3
44.1,-70.51,9,134,7,5,5,5
30.29,-89.38,2,40,3,1,1,1
-27.42,152.92,9,88,,,,
43.3,-94.55,2,33,2,2,2,2
32.53,-95.87,7,95,5,3,3,3
-37.77,145.05,4,45,4,3,3,3
39.82,-97.07,1,13,,,,
-33.68,150.61,11,107,1,1,,
33.13,-107.03,6,75,3,1,1,1
43.55,-96.7,8,107,8,7,7,7
38.33,-86.22,2,27,,,,
37.42,-87.58,1,20,4,3,3,3
20.86,-156.14,25,434,59,48,48,46
-35.02,138.73,3,30,,,,
45.49,-73.57,12,118,2,2,2,2
42.11,-70.71,15,187,17,14,14,12
42.6,-72.29,10,157,6,4,4,4
44.31,-69.96,15,209,10,9,9,8
39.39,-80.29,39,649,66,54,54,53
40.5,-74.49,3,36,5,5,5,4
44.36,-71.61,10,180,34,33,33,33
35,-85.35,11,136,8,6,6,6
40.6,-85.62,47,657,20,14,14,14
27.49,-82.64,63,997,67,65,65,59
41.49,-81.95,7,134,47,45,45,43
41.07,-81.55,9,199,23,22,22,22
42.07,-76.82,43,659,53,44,44,37
39.88,-76.65,9,261,31,25,25,25
41.54,-84.3,13,244,26,21,21,20
38.26,-85.66,34,587,48,44,44,44
40.67,-73.49,8,113,1,1,1,1
43.13,-70.96,17,221,17,13,13,11
39.02,-82.62,31,394,34,26,26,23
42.28,-73.33,1,19,6,5,5,5
43.28,-74.33,14,231,8,7,7,7
34.09,-82.52,5,62,2,1,1,1
40.59,-77.22,6,85,7,4,4,4
39.18,-82.49,5,76,4,3,3,3
41.37,-72.93,2,40,1,1,1,1
35.24,-82.05,14,230,13,10,10,10
41.79,-74.58,11,269,43,43,43,43
27.91,-82.71,19,359,41,38,38,38
38.73,-77.74,40,604,28,23,23,22
35.86,-78.83,28,414,25,16,16,15
40.56,-81.48,30,641,106,93,92,91
42.38,-83.05,4,62,12,10,10,10
38.6,-82.03,5,84,6,6,6,6
46.82,-88.65,3,38,3,3,3,3
-35.35,149.02,5,42,,,,
39.11,-76.93,4,45,1,,,
-33.47,151.43,6,60,,,,
-35.16,149.14,48,469,,,,
41.16,-80.48,2,18,2,2,2,1
-37.83,147.5,1,10,,,,
-32.15,116.01,23,222,,,,
47.21,-122.68,8,111,2,2,2,2
34.52,-119.29,40,672,40,33,33,31
33.61,-117.55,23,386,23,20,20,20
34.05,-117.46,18,256,21,17,17,15
39.04,-87.16,8,150,15,12,12,12
30.37,-89.18,17,402,37,35,35,34
41.18,-74.45,7,119,8,5,5,5
39.97,-77.59,2,31,3,3,3,3
38.81,-121.17,7,61,5,3,3,1
41.37,-71.86,9,111,6,5,5,3
